PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010001010793;SPLITTER HDMI 2X1 4KDK102 LULOVA PS-298           ;010793                                                      ;0,00 ; $ 76.000 ;0,00 
0010001010794;SPLITTER HDMI 8 SAL 1 ENTRADA PS-261              ;010794                                                      ;1,00 ; $ 165.000 ;92.942,78 
0010001001004;SPLITTER HDMI 16 SAL 1ENTRADA 3D 4K PS-245        ;01079401                                                    ;0,00 ; $ 550.000 ;0,00 
0010001010795;SPLITTER HDMI 4 SALIDAS 1 ENTRADA 1080P NICOL     ;010795                                                      ;13,00 ; $ 45.000 ;624.515,66 
0010001001005;SPLITTER HDMI 4 SALIDAS 1 ENTRADA STEREN BOS-304  ;01079501                                                    ;0,00 ; $ 82.000 ;0,00 
0010001001006;SPLITTER HDMI 4 SALIDAS 1 ENTRADA B460 10672      ;01079502                                                    ;0,00 ; $ 105.000 ;16.666,65 
0010001010796;SPLITTER HDMI 1X4 4K NICOL'S                      ;010796                                                      ;2,00 ; $ 48.000 ;50.178,24 
0010001010797;SPLITTER HDMI 8 SALIDAS 1 ENTRADA STEREN BOS-308  ;010797                                                      ;0,00 ; $ 205.000 ;0,00 
0010001010798;SPLITTER HDMI 4 SALIDAS 1 ENTRADA PS-303          ;010798                                                      ;0,00 ; $ 92.000 ;0,00 
0010001010799;SPLITTER HDMI 1X8 4K NICOL'S                      ;010799                                                      ;7,00 ; $ 125.000 ;571.030,90 
0010001010800;ADAPTADOR AMPLIFICADOR HDMI 1080P 4K              ;010800                                                      ;0,00 ; $ 120.000 ;0,00 
0010001010801;SPLITTER HDMI 2X1 1080P NICOLS                    ;010801                                                      ;19,00 ; $ 35.000 ;632.345,00 
0010001001007;SPLITTER HDMI 2X1 MST-1070G-15                    ;01080100                                                    ;0,00 ; $ 84.000 ;0,00 
0010001001008;SPLITTER HDMI 2X1 LULOVA PS-259                   ;01080101                                                    ;0,00 ; $ 93.000 ;0,00 
0010001010802;SPLITTER HDMI 2 SALIDAS CAJA GRIS                 ;010802                                                      ;0,00 ; $ 99.500 ;0,00 
0010001010803;SPLITTER VGA 8 PUERTOS TEC-SP108                  ;010803                                                      ;0,00 ; $ 75.000 ;0,00 
0010001010804;SPLITTER VGA 1x2 PUERTOS 1920x1440                ;010804                                                      ;0,00 ; $ 75.000 ;0,00 
0010001001009;SPLITTER VGA 1X4 2400MHZ                          ;01080401                                                    ;0,00 ; $ 78.000 ;0,00 
0010001010805;CONVERTIDOR DE VIDEO A VGA 400121                 ;010805                                                      ;2,00 ; $ 37.000 ;62.722,80 
0010001001010;CONVERTIDOR VGA A HDMI + AUDIO MST-1048G-6        ;01080501                                                    ;0,00 ; $ 46.000 ;0,00 
0010001001011;CONVERT HDMI A VGA + AUDIO JV-PEHDTV2VGA          ;01080502                                                    ;2,00 ; $ 21.000 ;23.800,00 
0010001010806;CONVERTIDOR VGA  A VIDEO 400120                   ;010806                                                      ;2,00 ; $ 25.000 ;57.058,50 
